LONC,LATC,CITY,LONT,TEMP,DAYS,MON,DAY,LONP,Prev_LONP,LATP,Prev_LATP,SURV,DIR,DIV
24,55,Kowno,37.6,0,6,Oct,18,24,24,54.9,,340000,A,1
25.3,54.7,Wilna,36,0,6,Oct,24,24.5,24,55,54.9,340000,A,1
26.4,54.4,Smorgoni,33.2,-9,16,Nov,9,25.5,24.5,54.5,55,340000,A,1
26.8,54.3,Molodexno,32,-21,5,Nov,14,26,25.5,54.7,54.5,320000,A,1
27.7,55.2,Gloubokoe,29.2,-11,10,,,27,26,54.8,54.7,300000,A,1
27.6,53.9,Minsk,28.5,-20,4,Nov,28,28,27,54.9,54.8,280000,A,1
28.5,54.3,Studienska,27.2,-24,3,Dec,1,28.5,28,55,54.9,240000,A,1
28.7,55.5,Polotzk,26.7,-30,5,Dec,6,29,28.5,55.1,55,210000,A,1
29.2,54.4,Bobr,25.3,-26,1,Dec,7,30,29,55.2,55.1,180000,A,1
30.2,55.3,Witebsk,,,,,,30.3,30,55.3,55.2,175000,A,1
30.4,54.5,Orscha,,,,,,32,30.3,54.8,55.3,145000,A,1
30.4,53.9,Mohilow,,,,,,33.2,32,54.9,54.8,140000,A,1
32,54.8,Smolensk,,,,,,34.4,33.2,55.5,54.9,127100,A,1
33.2,54.9,Dorogobouge,,,,,,35.5,34.4,55.4,55.5,100000,A,1
34.3,55.2,Wixma,,,,,,36,35.5,55.5,55.4,100000,A,1
34.4,55.5,Chjat,,,,,,37.6,36,55.8,55.5,100000,R,1
36,55.5,Mojaisk,,,,,,37.5,37.6,55.7,55.8,98000,R,1
37.6,55.8,Moscou,,,,,,37,37.5,55,55.7,97000,R,1
36.6,55.3,Tarantino,,,,,,36.8,37,55,55,96000,R,1
36.5,55,Malo-jarosewli,,,,,,35.4,36.8,55.3,55,87000,R,1
,,,,,,,,34.3,35.4,55.2,55.3,55000,R,1
,,,,,,,,33.3,34.3,54.8,55.2,37000,R,1
,,,,,,,,32,33.3,54.6,54.8,24000,R,1
,,,,,,,,30.4,32,54.4,54.6,20000,R,1
,,,,,,,,29.2,30.4,54.4,54.4,20000,R,1
,,,,,,,,28.5,29.2,54.3,54.4,20000,R,1
,,,,,,,,28.3,28.5,54.4,54.3,20000,R,1
,,,,,,,,24,28.3,55.1,54.4,60000,A,2
,,,,,,,,24.5,24,55.2,55.1,60000,A,2
,,,,,,,,25.5,24.5,54.7,55.2,60000,A,2
,,,,,,,,26.6,25.5,55.7,54.7,40000,A,2
,,,,,,,,27.4,26.6,55.6,55.7,33000,A,2
,,,,,,,,28.7,27.4,55.5,55.6,30000,R,2
,,,,,,,,29.2,28.7,54.3,55.5,30000,R,2
,,,,,,,,28.5,29.2,54.2,54.3,30000,R,2
,,,,,,,,28.3,28.5,54.3,54.2,28000,R,2
,,,,,,,,27.5,28.3,54.5,54.3,20000,R,2
,,,,,,,,26.8,27.5,54.3,54.5,12000,R,2
,,,,,,,,26.4,26.8,54.4,54.3,14000,R,2
,,,,,,,,24.6,26.4,54.5,54.4,8000,R,2
,,,,,,,,24.4,24.6,54.4,54.5,4000,R,2
,,,,,,,,24.2,24.4,54.4,54.4,4000,R,2
,,,,,,,,24.1,24.2,54.3,54.4,4000,R,2
,,,,,,,,24,24.1,55.2,54.3,22000,A,3
,,,,,,,,24.5,24,55.3,55.2,22000,A,3
,,,,,,,,24.6,24.5,55.8,55.3,6000,R,3
,,,,,,,,24.2,24.6,54.4,55.8,6000,R,3
,,,,,,,,24.1,24.2,54.3,54.4,6000,R,3
,,,,,,,,,24.1,,54.3,,,